1-1	那是力争上游的一种树，笔直的干，笔直的枝。
49-14	将一切机械力所不能分开的骨骼，完整地分开了。
49-15	植物种子的力量之大，如此如此。
49-16	这，也许特殊了一点儿，常人不容易理解。
49-17	那么，你看见过笋的成长吗？
49-18	你看见过#1被压在瓦砾#1和石块下面的一棵小草的生长吗？
49-19	它为着向往阳光，为着达成它的生之意志，
49-20	不管上面的石块如何重，石与石之间如何狭，
49-21	它必定要曲曲折折地，但是顽强不屈地透到地面上来。
49-22	它的根往土壤钻，它的芽往地面挺，这是一种不可抗拒的力，
49-23	阻止它的石块，结果#1也被它掀翻，
49-24	一粒种子的力量之大，如此如此。
49-25	没有一个人将小草叫做“大力士”，但是#1它的力量之大，的确是世界无比。
49-26	这种力#1是一般人看不见的生命力。
49-27	只要生命存在，这种力就要显现。
49-28	上面的石块，丝毫不足以阻挡。
49-29	因为#1它是一种“长期抗战”的力；
49-30	有弹性，能屈能伸的力；
49-31	有韧性，不达目的#1不止的力。
49-32	节选自#1夏衍#1《野草》
50-0	作品50号#1《一分钟》
50-1	著名教育家#1班杰明#1曾经接到一个青年人的求救电话，
50-2	并与那个向往成功、渴望指点的青年人约好了见面的时间和地点。
50-3	待那个青年如约而至时，班杰明的房门敞开着，
50-4	眼前的景象却令青年人颇感意外
50-5	班杰明的房间里乱七八糟、狼藉一片。
50-6	没等青年人开口，班杰明就招呼道：
50-7	“你看我这房间，太不整洁了，请你在门外等候一分钟，我收拾一下，你再进来吧。”
50-8	一边说着，班杰明就轻轻地关上了房门。
50-9	不到一分钟的时间，班杰明#1就又打开了房门并热情地把青年人让进客厅。
50-10	这时，青年人的眼前展现出另一番景象——
50-11	房间内的一切已变得井然有序，
50-12	而且有两杯刚刚倒好的红酒，在淡淡的香水气息里#1还漾着微波。
50-13	可是，没等青年人把满腹的有关人生#1和事业的疑难问题#1向班杰明讲出来，
50-14	班杰明就非常客气地说道：
50-15	“干杯。
50-16	你可以走了。”
50-17	青年人手持酒杯#1一下子愣住了，既尴尬#1又非常遗憾地说：
50-18	“可是，我……我还没向您请教呢……”
50-19	“这些……难道还不够吗?”
50-20	班杰明一边微笑着，一边扫视着自己的房间，轻言细语地说，
50-21	“你进来又有一分钟了。”
50-22	“一分钟……一分钟……”
50-23	青年人若有所思地说：
50-24	“我懂了，您让我明白了#1一分钟的时间可以做许多事情，可以改变许多事情的深刻道理。”
50-25	班杰明舒心地笑了。
50-26	青年人把杯里的红酒一饮而尽，向班杰明连连道谢后，开心地走了。
50-27	其实，只要把握好生命的每一分钟，也就把握了理想的人生。
50-28	节选自#1纪广洋#1《一分钟》
51-0	作品51号#1《一个美丽的故事》
51-1	有个塌鼻子的小男孩儿，因为两岁时得过脑炎，智力受损，学习起来很吃力。
51-2	打个比方，别人写作文能写二三百字，他却#1只能写三五行。
51-3	但即便这样的作文，他同样能写得很动人。
51-4	那是一次作文课，题目是《愿望》。
51-5	他极其认真地想了半天，然后#1极认真地写，那作文极短。
51-6	只有三句话：
51-7	我有两个愿望，第一个是，妈妈天天笑眯眯地看着我说：
51-8	“你真聪明，”
51-9	第二个是，老师天天笑眯眯地看着我说：
51-10	“你一点儿也不笨。”
51-11	于是，就是这篇作文，深深地打动了他的老师，
51-12	那位妈妈式的老师不仅给了他最高分，
51-13	在班上#1带感情地朗读了这篇作文，还一笔一画地批道：
51-14	你很聪明，你的作文写得非常感人，请放心，
51-15	妈妈肯定会格外喜欢你的，
51-16	老师肯定会格外喜欢你的，大家肯定会格外喜欢你的。
51-17	捧着作文本，他笑了，蹦蹦跳跳地回家了，像只喜鹊。
51-18	但他并没有把作文本拿给妈妈看，他是在等待，等待着一个美好的时刻。
51-19	那个时刻终于到了，是妈妈的生日——一个阳光灿烂的星期天：
51-20	那天，他起得特别早，
51-21	把作文本#1装在一个亲手做的美丽的大信封里，等着妈妈醒来。
51-22	妈妈刚刚睁眼醒来，他就笑眯眯地#1走到妈妈跟前说：
51-23	“妈妈，今天是您的生日，我要送给您一件礼物。”
51-24	果然，看着这篇作文，妈妈甜甜地#1涌出了两行热泪，
51-25	一把搂住小男孩儿，搂得很紧很紧。
51-26	是的，智力可以受损，但爱#1永远不会。
51-27	节选自#1张玉庭#1《一个美丽的故事》
52-0	作品52号#1《永远的记忆》
52-1	小学的时候，有一次我们去海边远足，妈妈没有做便饭，给了我十块钱买午餐。
52-2	好像走了很久，很久，终于到海边了，大家坐下来便吃饭，
52-3	荒凉的海边没有商店，我一个人跑到防风林外面去，
52-4	级任老师#1要大家把吃剩的饭菜#1分给我一点儿。
52-5	有两三个男生留下一点儿给我，还有一个女生，她的米饭拌了酱油，很香。
52-6	我吃完的时候，她笑眯眯地看着我，短头发，脸圆圆的。
52-7	她的名字#1叫翁香玉。
52-8	每天放学的时候，她走的#1是经过我们家的一条小路，
52-9	带着一位比她小的男孩儿，可能是弟弟。
52-10	小路边是一条清澈见底的小溪，两旁竹阴覆盖，
52-11	我总是远远地跟在她后面，夏日的午后特别炎热，
52-12	走到半路她会停下来，拿手帕在溪水里浸湿，为小男孩儿擦脸。
52-13	我也在后面停下来，把肮脏的手帕#1弄湿了擦脸，再一路远远跟着她回家。
52-14	后来#1我们家搬到镇上去了，过几年#1我也上了中学。
52-15	有一天放学回家，在火车上，
52-16	看见斜对面一位短头发、圆圆脸的女孩儿，一身素净的白衣黑裙。
52-17	我想她一定不认识我了。
52-18	火车很快到站了，我随着人群挤向门口，她也走近了，叫我的名字。
52-19	这是#1她第一次和我说话。
52-20	她笑眯眯的，和我一起走过月台。
52-21	以后就没有再见过她了。
52-22	这篇文章收在我出版的《少年心事》这本书里。
52-23	书出版后半年，有一天#1我忽然收到出版社转来的一封信，
52-24	信封上是陌生的字迹，但清楚地写着我的本名。
52-25	信里面说#1她看到了这篇文章心里非常激动，没想到#1在离开家乡，
52-26	漂泊异地这么久之后，会看见自己仍然在一个人的记忆里，
52-27	她自己也深深记得#1这其中的每一幕，
52-28	只是没想到#1越过遥远的时空，竟然另一个人#1也深深记得。
52-29	节选自#1苦伶#1《永远的记忆》
53-0	作品53号#1《语言的魅力》
53-1	在繁华的巴黎大街的路旁，站着一个衣衫褴褛、头发斑白、双目失明的老人。
53-2	他不像其他乞丐那样#1伸手向过路行人乞讨，
53-3	而是在身旁#1立一块木牌，上面写着：
53-4	“我什么也看不见！”
53-5	街上过往的行人很多，看了木牌上的字#1都无动于衷，
53-6	有的还淡淡一笑，便姗姗而去了。
53-7	这天中午，法国著名诗人让·彼浩勒也经过这里。
53-8	他看看木牌上的字，问盲老人：
53-9	“老人家，今天上午有人给你钱吗？”
53-10	盲老人叹息着回答：
53-11	“我，我什么也没有得到。”
53-12	说着，脸上的神情非常悲伤。
53-13	让·彼浩勒听了，拿起笔悄悄地在那行字的前面添上了“春天到了，
53-14	可是”几个字，就匆匆地离开了。
53-15	晚上，让·彼浩勒又经过这里，问那个盲老人#1下午的情况。
53-16	盲老人笑着回答说：
53-17	“先生，不知为什么，下午给我钱的人多极了！”
53-18	让·彼浩勒听了，摸着胡子#1满意地笑了。
53-19	“春天到了，可是我什么也看不见！”
53-20	这富有诗意的语言，产生这么大的作用，就在于#1它有非常浓厚的感情色彩。
53-21	是的，春天是美好的，那蓝天白云，那绿树红花，
53-22	那莺歌燕舞，那流水人家，怎么不叫人陶醉呢？
53-23	但这良辰美景，对于一个双目失明的人来说，只是一片漆黑。
53-24	当人们想到这个盲老人，一生中#1竟连万紫千红的春天#1都不曾看到，
53-25	怎能不对他产生同情之心呢?
53-26	节选自#1小学《语文》第六册中#1《语言的魅力》
54-0	作品54号#1《赠你四味长寿药》
54-1	有一次，苏东坡的朋友张鹗#1拿着一张宣纸#1来求他写一幅字，
54-2	而且希望他写一点儿#1关于养生方面的内容。
54-3	苏东坡思索了一会儿，点点头说：
54-4	“我得到了一个养生长寿古方，药只有四味，今天就赠给你吧。”
54-5	于是，东坡的狼毫#1在纸上挥洒起来，上面写着：
54-6	“一曰无事以当贵，二曰早寝以当富，
54-7	三曰安步以当车，四曰晚食以当肉。”
54-8	这哪里有药？
54-9	张鹗一脸茫然地问。
54-10	苏东坡笑着解释说，养生长寿的要诀，全在这四句里面。
54-11	所谓“无事以当贵”，是指人不要把功名利禄、
54-12	荣辱过失#1考虑得太多，如能在情志上潇洒大度，
54-13	随遇而安，无事以求，这比富贵更能使人终其天年。
54-14	“早寝以当富”，指吃好穿好、财货充足，并非就能使你长寿。
54-15	对老年人来说，养成良好的起居习惯，
54-16	尤其是早睡早起，比获得任何财富更加宝贵。
54-17	“安步以当车”，指人不要过于讲求安逸、肢体不劳，
54-18	而应多以步行来替代骑马乘车，
54-19	多运动#1才可以强健体魄，通畅气血。
54-20	“晚食以当肉”，意思是#1人应该用已饥方食、
54-21	未饱先止#1代替对美味佳肴的贪吃无厌。
54-22	他进一步解释，饿了以后才进食，
54-23	虽然#1是粗茶淡饭，但其香甜可口#1会胜过山珍；
54-24	如果饱了#1还要勉强吃，即使美味佳肴摆在眼前#1也难以下咽。
54-25	苏东坡的四味“长寿药”，实际上#1是强调了情志、睡眠、运动、
54-26	饮食四个方面对养生长寿的重要性，
54-27	这种养生观点#1即使在今天#1仍然值得借鉴。
54-28	节选自#1蒲昭和#1《赠你四味长寿药》
55-0	作品55号#1《站在历史的枝头微笑》
55-1	人活着，最要紧的#1是寻觅到那片#1代表着生命绿色#1和人类希望的丛林，
55-2	然后选一高高的枝头#1站在那里观览人生，
55-3	消化痛苦，孕育歌声，愉悦世界！
55-4	这可真是一种潇洒的人生态度，这可真是一种#1心境爽朗的情感风貌。
55-5	站在历史的枝头微笑，可以减免许多烦恼。
55-6	在那里，你可以从#1众生相#1所包含#1的甜酸苦辣、百味人生中#1寻找你自己；
55-7	你境遇中的那点儿苦痛，也许相比之下，再也难以占据一席之地；
55-8	你会较容易地获得#1从不悦中解脱灵魂的力量，使之不致变得灰色。
55-9	人站得高些，不但能有幸早些领略到希望的曙光，
55-10	还能有幸发现生命的立体的诗篇。
55-11	每一个人的人生，都是这诗篇中的一个词、一个句子或者一个标点。
55-12	你可能没有成为一个美丽的词，一个引人注目的句子，一个惊叹号，
55-13	但你依然是这生命的立体诗篇中的一个音节、
55-14	一个停顿、一个必不可少的组成部分。
55-15	这足以使你放弃前嫌，萌生为人类孕育新的歌声的兴致，
55-16	为世界带来更多的诗意。
55-17	最可怕的人生见解，是把多维的生存图景看成平面。
55-18	因为那平面上刻下的大多#1是凝固了的历史——过去的遗迹；
55-19	但活着的人们，活得#1却是充满着新生智慧的，
55-20	由不断逝去的“现在”组成的未来。
55-21	人生不能像某些鱼类躺着游，人生也不能像某些兽类爬着走，
55-22	而应该站着向前行，这#1才是人类#1应有的生存姿态。
55-23	节选自#1[美]#1本杰明·拉什#1《站在历史的枝头微笑》
56-0	作品56号#1《中国的宝岛——台湾》
56-1	中国的第一大岛、台湾省的主岛#1台湾，
56-2	位于中国大陆架的东南方，地处东海和南海之间，
56-3	隔着台湾海峡#1和大陆相望。
56-4	天气晴朗的时候，站在福建沿海较高的地方，
56-5	就可以隐隐约约地#1望见岛上的高山和云朵。
56-6	台湾岛形状狭长，从东到西，最宽处只有一百四十多公里；
56-7	由南至北，最长的地方约有三百九十多公里。
56-8	地形像一个纺织用的梭子。
56-9	台湾岛上的山脉纵贯南北，中间的中央山脉#1犹如全岛的脊梁。
56-10	西部#1为海拔近四千米的玉山山脉，是中国东部的最高峰。
56-11	全岛约有三分之一的地方是平地，其余为山地。
56-12	岛内有缎带般的瀑布，蓝宝石似的湖泊，
56-13	四季常青的森林和果园，自然景色十分优美。
56-14	西南部的阿里山和日月潭，台北市郊的大屯山风景区，
56-15	都是闻名世界的游览胜地。
56-16	台湾岛地处热带和温带之间，四面环海，
56-17	雨水充足，气温受到海洋的调剂，冬暖夏凉，
56-18	四季如春，这给水稻#1和果木生长提供了优越的条件。
56-19	水稻、甘蔗、樟脑是台湾的“三宝”。
56-20	岛上还盛产鲜果和鱼虾。
56-21	台湾岛还是一个闻名世界的“蝴蝶王国”。
56-22	岛上的蝴蝶共有四百多个品种，其中#1有不少是世界稀有的珍贵品种。
56-23	岛上还有不少鸟语花香的蝴蝶谷，
56-24	岛上居民#1利用蝴蝶制作的标本#1和艺术品，远销许多国家。
56-25	节选自#1《中国的宝岛——台湾》
57-0	作品57号#1《中国的牛》
57-1	对于中国的牛，我有着一种特别尊敬的感情。
57-2	留给我印象最深的，要算在田垄上的一次“相遇”。
57-3	一群朋友郊游，我领头#1在狭窄的阡陌上走，
57-4	怎料#1迎面来了几头耕牛，狭道容不下人和牛，终有一方要让路。
57-5	它们还没有走近，我们已经预计#1斗不过畜牲，
57-6	恐怕难免踩到田地泥水里．弄得鞋袜又泥又湿了。
57-7	正踟蹰的时候，带头的一头牛，在离我们不远的地方停下来，
57-8	抬起头看看，稍迟疑一下，就自动走下田去。
57-9	一队耕牛，全跟着它离开阡陌，从我们身边经过。
57-10	我们都呆了，回过头来，看着深褐色的牛队，
57-11	在路的尽头消失，忽然觉得自己受了很大的恩惠。
57-12	中国的牛，永远沉默地#1为人做着沉重的工作。
57-13	在大地上，在晨光或烈日下，它拖着沉重的犁，
57-14	低头一步又一步，拖出了身后一列又一列松土，好让人们下种。
57-15	等到满地金黄或农闲时候，它可能还得担当#1搬运负重的工作；
57-16	或终日绕着石磨，朝同一方向，走不计程的路。
57-17	在它沉默的劳动中，人便得到应得的收成。
57-18	那时候，也许，它可以松一肩重担，站在树下，吃几口嫩草。
57-19	偶尔摇摇尾巴，摆摆耳朵，赶走飞附身上的苍蝇，
57-20	已经算是它最闲适的生活了。
57-21	中国的牛，没有成群奔跑的习惯，
57-22	永远沉沉实实的，默默地工作，平心静气。
57-23	这就是中国的牛!
57-24	节选自#1小思#1《中国的牛》
58-0	作品58号#1《住的梦》
58-1	不管我的梦想能否成为事实，说出来总是好玩儿的：
58-2	春天，我将要住在杭州。
58-3	二十年前，旧历的二月初，在西湖#1我看见了嫩柳与菜花，碧浪与翠竹。
58-4	由我看到的那点儿春光，已经可以断定，
58-5	杭州的春天#1必定会教人整天生活在诗#1与图画之中。
58-6	所以，春天我的家#1应当是在杭州。
58-7	夏天，我想青城山应当算作最理想的地方。
58-8	在那里，我虽然只住过十天，可是它的幽静#1已拴住了我的心灵。
58-9	在我所看见过的山水中，只有这里#1没有使我失望。
58-10	到处都是绿，目之所及，
58-11	那片淡而光润的绿色都在轻轻地颤动，
58-12	仿佛要流入空中#1与心中似的。
58-13	这个绿色会像音乐，涤清了心中的万虑。
58-14	秋天#1一定要住北平。
58-15	天堂是什么样子，我不知道，
58-16	但是#1从我的生活经验去判断，北平之秋#1便是天堂。
58-17	论天气，不冷不热。
58-18	论吃的，苹果、梨、柿子、枣儿、葡萄，每样都有若干种。
58-19	论花草，菊花种类之多，花式之奇，可以甲天下。
58-20	西山有红叶可见，北海可以划船——
58-21	虽然荷花已残，荷叶可还有一片清香。
58-22	衣食住行，在北平的秋天，是没有一项#1不使人满意的。
58-23	冬天，我还没有打好主意，成都或者相当得合适，
58-24	虽然并不怎样和暖，可是为了水仙，素心腊梅，
58-25	各色的茶花，仿佛就受一点儿寒冷，也颇值得去了。
58-26	昆明的花也多，而且天气比成都好，
58-27	可是旧书铺与精美而便宜的小吃#1远不及成都那么多。
58-28	好吧，就暂这么规定：
58-29	冬天不住成都#1便住昆明吧。
58-30	在抗战中，我没能发国难财。
58-31	我想，抗战胜利以后，我必能阔起来。
58-32	那时候，假若飞机减价，一二百元#1就能买一架的话，
58-33	我就自备一架，择黄道吉日#1慢慢地飞行。
58-34	节选自#1老舍#1《住的梦》
59-0	作品59号#1《紫藤萝瀑布》
59-1	我不由得停住了脚步。
59-2	从未见过开得这样盛的藤萝，只见一片辉煌的淡紫色，
59-3	像一条瀑布，从空中垂下，不见其发端，也不见其终极，
59-4	只是深深浅浅的紫，仿佛在流动，在欢笑，在不停地生长。
59-5	紫色的大条幅上，泛着点点银光，就像迸溅的水花。
59-6	仔细看时，才知那是每一朵紫花中的#1最浅淡的部分，
59-7	在和阳光#1互相挑逗。
59-8	这里除了光彩，还有淡淡的芳香。
59-9	香气似乎也是浅紫色的，梦幻一般#1轻轻地笼罩着我。
59-10	忽然记起十多年前，家门外也曾有过一大株紫藤萝，
59-11	它依傍一株枯槐#1爬得很高，但花朵#1从来都稀落，
59-12	东一穗#1西一串#1伶仃地挂在树梢，好像在察颜观色，试探什么。
59-13	后来索性连那稀零的花串也没有了。
59-14	园中别的紫藤花架也都拆掉，改种了果树。
59-15	那时的说法是，花和生活腐化有什么必然关系。
59-16	我曾遗憾地想：
59-17	这里再看不见藤萝花了。
59-18	过了这么多年，藤萝又开花了，而且开得这样盛，
59-19	这样密，紫色的瀑布遮住了粗壮的盘虬卧龙般的枝干，
59-20	不断地流着，流着，流向人的心底。
59-21	花和人#1都会遇到各种各样的不幸，但是生命的长河#1是无止境的。
59-22	我抚摸了一下#1那小小的紫色的花舱，
59-23	那里满装了生命的酒酿，它张满了帆，
59-24	在这闪光的花的河流上航行。
59-25	它是万花中的一朵，也正是由每一个一朵，
59-26	组成了万花灿烂的流动的瀑布。
59-27	在这浅紫色的光辉和浅紫色的芳香中，我不觉#1加快了脚步。
59-28	节选自#1宗璞#1《紫藤萝瀑布》
60-0	作品60号#1《最糟糕的发明》
60-1	在一次名人访问中，被问及#1上个世纪最重要的发明是什么时，
60-2	有人说是电脑，有人说是汽车，等等。
60-3	但新加坡的一位知名人士#1却说是冷气机。
60-4	他解释，如果没有冷气，热带地区#1如东南亚国家，
60-5	就不可能有很高的生产力，就不可能达到今天的生活水准。
60-6	他的回答实事求是，有理有据。
60-7	看了上述报道，我突发奇想：
60-8	为什么没有记者问：
60-9	“二十世纪最糟糕的发明是什么?”
60-10	其实二零零二年十月中旬，英国的一家报纸#1就评出了“人类最糟糕的发明”。
60-11	获此“殊荣”的，就是人们每天大量使用的塑料袋。
60-12	诞生于上个世纪三十年代的塑料袋，其家族#1包括用塑料制成的快餐饭盒、
60-13	包装纸、餐用杯盘、饮料杯、酸奶杯、雪糕杯等等。
60-14	这些废弃物形成的垃圾，数量多、体积大、重量轻、
60-15	不降解，给治理工作带来很多技术难题和社会问题。
60-16	比如，散落在田间、路边及草丛中的塑料餐盒，
60-17	一旦被牲畜吞食，就会危及健康#1甚至导致死亡。
60-18	填埋废弃塑料袋、塑料餐盒的土地，不能生长庄稼和树木，造成土地板结，
60-19	而焚烧处理这些塑料垃圾，则会释放出多种化学有毒气体，
60-20	其中一种#1称为二噁英的化合物，毒性极大。
60-21	此外，在生产塑料袋、塑料餐盒的过程中使用的氟利昂，
60-22	对人体免疫系统#1和生态环境#1造成的破坏#1也极为严重。
60-23	节选自#1林光如#1《最糟糕的发明》
